Neoboletus_106	s.d._russell_ont_inaturalist_129771339|ITS|OP470579.1
Neoboletus_107	s.d._russell_ont_inaturalist_129764007|ITS|OP470557.1
Neoboletus_108	s.d._russell_ont_inaturalist_130688851|ITS|OP455648.1
Neoboletus_109	dbg:f_023858|ITS|OP177971.1
Neoboletus_110	arora21812|ITS|OP020672.1
Neoboletus_111	mushroom_observer_250472|ITS|ON705307.1
Neoboletus_112	mushroom_observer_418250|ITS|ON950122.1
Neoboletus_113	s.d._russell_inaturalist_56783815|ITS|OM473835.1
Neoboletus_114	jlf2552|ITS|KC812311.1
Neoboletus_115	mushroom_observer_376128_haplotype_2|ITS|ON705326.1
Neoboletus_116	mushroom_observer_376128_haplotype_1|ITS|ON705325.1
Neoboletus_117	mushroom_observer_380783|ITS|ON705296.1
Neoboletus_118	mushroom_observer_379340|ITS|ON705292.1
Neoboletus_119	mushroom_observer_340816|ITS|ON705289.1
Neoboletus_120	mushroom_observer_334881|ITS|ON705287.1
Neoboletus_121	mushroom_observer_374573_haplotype_2|ITS|ON705282.1
Neoboletus_122	mushroom_observer_374573_haplotype_1|ITS|ON705281.1
Neoboletus_123	mushroom_observer_249632|ITS|ON705271.1
Neoboletus_124	tur_a_208905|ITS|MZ265187.1
Neoboletus_125	mushroom_observer_455007|ITS|ON554801.1
Neoboletus_126	tenn_f_074677|ITS|ON412921.1
Neoboletus_127	mich139826|ITS|OM985879.1
Neoboletus_128	244|ITS|OM972515.1
Neoboletus_129	159|ITS|OM972430.1
Neoboletus_130	80|ITS|OM809253.1
Neoboletus_131	72|ITS|OM809245.1
Neoboletus_132	fbozok00337|ITS|MK275234.1
Neoboletus_133	fbozok00135|ITS|MK272852.1
Neoboletus_134	le315548|ITS|MZ451352.1
Neoboletus_135	le312474|ITS|MZ451351.1
Neoboletus_136	le315625|ITS|MZ451350.1
Neoboletus_137	rlc_543|ITS|MW374253.1
Neoboletus_138	rpr_405|ITS|MW374184.1
Neoboletus_139	MW363478.1|ITS|MW363478.1
Neoboletus_140	n.k.zeng3352fhmu3370|ITS|MW293793.1
Neoboletus_141	n.k.zeng3354|ITS|MT822938.1
Neoboletus_142	izs19097028/4_101|ITS|MZ005508.1
Neoboletus_143	ymf5.0089|ITS|MW874539.1
Neoboletus_144	ymf5.0088|ITS|MW874538.1
Neoboletus_145	mushroom_observer_327981_mycoflora_54413|ITS|MW882077.1
Neoboletus_146	mushroom_observer_327963_mycoflora_54410|ITS|MW882074.1
Neoboletus_147	hfrg_ak200910_1|ITS|MW424633.1
Neoboletus_148	571|ITS|MT908317.1
Neoboletus_149	dms_9328716|ITS|MT644889.1
Neoboletus_150	hkas105280|ITS|MT520089.1
Neoboletus_151	cnv13|ITS|MT345190.1
Neoboletus_152	tenn:074909|ITS|MT196984.1
Neoboletus_153	ded3558|ITS|KY713588.1
Neoboletus_154	arora16602|ITS|KY713587.1
Neoboletus_155	arora16601|ITS|KY713586.1
Neoboletus_156	3n|ITS|MK492598.1
Neoboletus_157	jlf6851|ITS|MN263001.1
Neoboletus_158	jlf6790|ITS|MN263000.1
Neoboletus_159	jlf6778|ITS|MN262999.1
Neoboletus_160	jlf6865|ITS|MN262998.1
Neoboletus_161	jlf6592|ITS|MN262997.1
Neoboletus_162	arora19008|ITS|MN262996.1
Neoboletus_163	arora19007|ITS|MN262995.1
Neoboletus_164	arora19002|ITS|MN262994.1
Neoboletus_165	jlf6728|ITS|MN262993.1
Neoboletus_166	jlf6541|ITS|MN262992.1
Neoboletus_167	mushroom_observer_243999|ITS|MN128244.1
Neoboletus_168	mushroom_observer_287447|ITS|MN128235.1
Neoboletus_169	mushroom_observer_294534|ITS|MN116700.1
Neoboletus_170	mushroom_observer_287542|ITS|MN115790.1
Neoboletus_171	mushroom_observer_317591|ITS|MN106413.1
Neoboletus_172	fhmu:1620|ITS|NR_163762.1
Neoboletus_173	jbsd:127417|ITS|NR_163354.1
Neoboletus_174	jbsd127418|ITS|MK388292.1
Neoboletus_175	jbsd127416|ITS|MK388291.1
Neoboletus_176	jbsd127417|ITS|MK388290.1
Neoboletus_177	n.k.zeng3324|ITS|MK061359.1
Neoboletus_178	l.p.tang1958|ITS|MH885358.1
Neoboletus_179	n.k.zeng3098|ITS|MH885357.1
Neoboletus_180	n.k.zeng3094|ITS|MH885356.1
Neoboletus_181	n.k.zeng3091|ITS|MH885355.1
Neoboletus_182	n.k.zeng1286|ITS|MH885353.1
Neoboletus_183	n.k.zeng1285|ITS|MH885352.1
Neoboletus_184	n.k.zeng2498|ITS|MH885354.1
Neoboletus_185	mushroom_observer_287453|ITS|MK533786.1
Neoboletus_186	ns082512|ITS|KX610675.1
Neoboletus_187	arora15305|ITS|KX610674.1
Neoboletus_188	arora13031|ITS|KX610673.1
Neoboletus_189	nama_2017_104|ITS|MH979245.1
Neoboletus_190	wu:31411|ITS|NR_137886.1
Neoboletus_191	hd13996|ITS|MH483548.1
Neoboletus_192	mushroom_observer_285181|ITS|MH244205.1
Neoboletus_193	mushroom_observer_264291|ITS|MH236170.1
Neoboletus_194	mushroom_observer_249632|ITS|MH236071.1
Neoboletus_195	mushroom_observer_243925|ITS|MH231417.1
Neoboletus_196	jlf5687|ITS|MH203886.1
Neoboletus_197	jlf5660|ITS|MH203885.1
Neoboletus_198	jlf5495|ITS|MH203884.1
