Austroboletus_111	mel2265009|ITS|KP242166.1
Austroboletus_112	mel2233764|ITS|KP242165.1
Austroboletus_113	mel2052776|ITS|KP242164.1
Austroboletus_114	bri:aq0807886|ITS|KP242163.1
Austroboletus_115	bri:aq0795789|ITS|KP242162.1
Austroboletus_116	bri:aq0795787|ITS|KP242161.1
Austroboletus_117	bri:aq0795785|ITS|KP242160.1
Austroboletus_118	bri:aq0794272|ITS|KP242159.1
Austroboletus_119	bri:aq0794242|ITS|KP242158.1
Austroboletus_120	bri:aq0796693|ITS|KP242157.1
Austroboletus_121	bri:aq0795772|ITS|KP242156.1
Austroboletus_122	bri:aq0794237|ITS|KP242155.1
Austroboletus_123	bri:aq0794226|ITS|KP242154.1
Austroboletus_124	cbg:9310035|ITS|KP242153.1
Austroboletus_125	mel2371703|ITS|KP242152.1
Austroboletus_126	mel2305143|ITS|KC552018.1
Austroboletus_127	mel2300518|ITS|KC552017.1
Austroboletus_128	mel2053830|ITS|KC552016.1
Austroboletus_129	mel2265009|ITS|KC552015.1
Austroboletus_130	mel2233764|ITS|KC552014.1
Austroboletus_131	bri:halling_9993|ITS|NR_169920.1
Austroboletus_132	otu1575|ITS|MT594990.1
Austroboletus_133	ota_funnz_2013434|ITS|KP191805.1
Austroboletus_134	pdd:83019|ITS|KP191804.1
Austroboletus_135	pdd:105097|ITS|KP191803.1
Austroboletus_136	pdd:81219|ITS|KP191802.1
Austroboletus_137	pdd:105246|ITS|KP191801.1
Austroboletus_138	pdd:105213|ITS|KP191800.1
Austroboletus_139	cnv35|ITS|MT345212.1
Austroboletus_140	jlf6600|ITS|MN174796.1
Austroboletus_141	ny181457|ITS|JQ924301.1
Austroboletus_142	nama_2017_106|ITS|MH979242.1
Austroboletus_143	cm13_006|ITS|KY774009.1
Austroboletus_144	cy13_008|ITS|KY774008.1
Austroboletus_145	cymy36l1|ITS|KY774007.1
Austroboletus_146	acad11344f|ITS|MH465078.1
Austroboletus_147	flor_51601|ITS|KY886203.1
Austroboletus_148	flor_51599|ITS|KY886202.1
Austroboletus_149	inpa_78693|ITS|KY886201.1
Austroboletus_150	hua:2032_amv|ITS|NR_153523.1
Austroboletus_151	amv1881|ITS|KT724086.1
Austroboletus_152	amv1800|ITS|KT724085.1
Austroboletus_153	kcs_1401_cal_1304|ITS|KX530028.1
Austroboletus_154	kd_12_250_bshc|ITS|KM597479.1
Austroboletus_155	kd_12_250_bshc|ITS|KM597478.1
Austroboletus_156	dodd|ITS|KY872653.1
Austroboletus_157	reh10024|ITS|KY872652.1
Austroboletus_158	reh9993|ITS|KY872649.1
Austroboletus_159	th8732|ITS|KT339224.1
Austroboletus_160	th8189|ITS|JN168683.1
Austroboletus_161	2032_amv|ITS|KF937309.1
Austroboletus_162	1914_amv|ITS|KF937308.1
Austroboletus_163	1839_amv|ITS|KF937307.1
Austroboletus_164	mel:2382920|ITS|KP012789.1
Austroboletus_165	mel:2382826|ITS|KP012702.1
Austroboletus_166	hkas75207|ITS|JX889719.1
Austroboletus_167	pdd:72542|ITS|HM060327.1
Austroboletus_168	120_707|ITS|AB509915.1
Austroboletus_169	122_549|ITS|AB509830.1
