Retiboletus_113	hkas83955|ITS|KP739272.1
Retiboletus_114	hkas83954|ITS|KP739271.1
Retiboletus_115	hkas83953|ITS|KP739270.1
Retiboletus_116	hkas83951|ITS|KP739269.1
Retiboletus_117	hkas83950|ITS|KP739268.1
Retiboletus_118	hkas76418|ITS|KP739267.1
Retiboletus_119	b.feng809|ITS|KP739266.1
Retiboletus_120	n.k.zeng1894|ITS|KP739265.1
Retiboletus_121	hkas83946|ITS|KP739264.1
Retiboletus_122	hkas63590|ITS|KP739263.1
Retiboletus_123	hkas59460|ITS|JQ928613.1
Retiboletus_124	116_612|ITS|AB509860.1
Retiboletus_125	116_536|ITS|AB509818.1
