Strobilomyces_109	hkas84700|ITS|MG832084.1
Strobilomyces_110	hkas84055|ITS|MG832083.1
Strobilomyces_111	wu17052|ITS|MG832082.1
Strobilomyces_112	wu17033|ITS|MG832081.1
Strobilomyces_113	wu17057|ITS|MG832080.1
Strobilomyces_114	hmas72949|ITS|MG832079.1
Strobilomyces_115	hkas84762|ITS|MG832078.1
Strobilomyces_116	hkas84915|ITS|MG832077.1
Strobilomyces_117	hkas80299|ITS|MG832076.1
Strobilomyces_118	hkas80350|ITS|MG832075.1
Strobilomyces_119	hkas80300|ITS|MG832074.1
Strobilomyces_120	hkas74547|ITS|MG832073.1
Strobilomyces_121	hkas74910|ITS|MG832072.1
Strobilomyces_122	hkas80364|ITS|MG832071.1
Strobilomyces_123	hkas59408|ITS|MG832070.1
Strobilomyces_124	hkas74863|ITS|MG832069.1
Strobilomyces_125	hkas74963|ITS|MG832068.1
Strobilomyces_126	hkas84723|ITS|MG832067.1
Strobilomyces_127	hkas74865|ITS|MG832066.1
Strobilomyces_128	hkas78573|ITS|MG832065.1
Strobilomyces_129	hkas74964|ITS|MG832064.1
Strobilomyces_130	hkas74887|ITS|MG832063.1
Strobilomyces_131	hkas93250|ITS|MG832062.1
Strobilomyces_132	hkas74967|ITS|MG832061.1
Strobilomyces_133	hkas75765|ITS|MG832060.1
Strobilomyces_134	hkas59420|ITS|MG832059.1
Strobilomyces_135	hkas87097|ITS|MG832058.1
Strobilomyces_136	hkas87134|ITS|MG832057.1
Strobilomyces_137	hkas84945|ITS|MG832056.1
Strobilomyces_138	hkas82354|ITS|MG832055.1
Strobilomyces_139	wu17032|ITS|MG832054.1
Strobilomyces_140	hkas81935|ITS|MG832053.1
Strobilomyces_141	hkas80129|ITS|MG832052.1
Strobilomyces_142	hkas75582|ITS|MG832051.1
Strobilomyces_143	hkas73175|ITS|MG832050.1
Strobilomyces_144	hkas84682|ITS|MG832049.1
Strobilomyces_145	hkas78563|ITS|MG832048.1
Strobilomyces_146	hkas74532|ITS|MG832047.1
Strobilomyces_147	hkas74924|ITS|MG832046.1
Strobilomyces_148	hkas77969|ITS|MG832045.1
Strobilomyces_149	hkas57770|ITS|MG832044.1
Strobilomyces_150	otu413|ITS|MT596168.1
Strobilomyces_151	otu1211|ITS|MT594743.1
Strobilomyces_152	1965|ITS|MT522577.1
Strobilomyces_153	cnv104|ITS|MT345280.1
Strobilomyces_154	otu193s|ITS|MK838368.1
Strobilomyces_155	jlf6840|ITS|MN306149.1
Strobilomyces_156	jlf6808|ITS|MN306148.1
Strobilomyces_157	cwn_10928_tnm|ITS|MK246950.1
Strobilomyces_158	jlf2562|ITS|MK733920.1
Strobilomyces_159	sub828|ITS|MK518063.1
Strobilomyces_160	sub728_lah35866|ITS|MK518062.1
Strobilomyces_161	flas_f_60405|ITS|MH108557.1
Strobilomyces_162	mbsrj61|ITS|MH124569.1
Strobilomyces_163	brnm:718716|ITS|NR_154416.1
Strobilomyces_164	to:mg001|ITS|NR_154395.1
Strobilomyces_165	sam147e05|ITS|MG018124.1
Strobilomyces_166	3521|ITS|KM248942.1
Strobilomyces_167	dc_16_54|ITS|KY820659.1
Strobilomyces_168	dc_16_27|ITS|KY412777.1
Strobilomyces_169	ny0075256|ITS|KM460929.1
Strobilomyces_170	ny0075253|ITS|KM460928.1
Strobilomyces_171	dc_15_10|ITS|KX364694.1
Strobilomyces_172	brnm_766850|ITS|KT121568.1
Strobilomyces_173	brnm_766848|ITS|KT121567.1
Strobilomyces_174	brnm_766847|ITS|KT121566.1
Strobilomyces_175	brnm_718716|ITS|KT121565.1
Strobilomyces_176	emf43|ITS|JF273544.1
Strobilomyces_177	asis21619|ITS|KF668303.1
Strobilomyces_178	to_mg001|ITS|JX870649.1
Strobilomyces_179	2580|ITS|HE814161.1
Strobilomyces_180	tenn:65514|ITS|JQ319001.1
Strobilomyces_181	tenn:65514|ITS|JQ319000.1
Strobilomyces_182	tenn:65514|ITS|JQ318999.1
Strobilomyces_183	tenn:65514|ITS|JQ318998.1
Strobilomyces_184	tenn:65514|ITS|JQ318997.1
Strobilomyces_185	tenn:63121|ITS|JQ318996.1
Strobilomyces_186	tenn:63121|ITS|JQ318995.1
Strobilomyces_187	tenn:63121|ITS|JQ318994.1
Strobilomyces_188	tenn:63121|ITS|JQ318993.1
Strobilomyces_189	tenn:63121|ITS|JQ318992.1
Strobilomyces_190	tenn:63121|ITS|JQ318991.1
Strobilomyces_191	tenn:63121|ITS|JQ318990.1
Strobilomyces_192	tenn:63121|ITS|JQ318989.1
Strobilomyces_193	le253887|ITS|JQ318988.1
Strobilomyces_194	le253887|ITS|JQ318987.1
Strobilomyces_195	le253887|ITS|JQ318986.1
Strobilomyces_196	le253886|ITS|JQ318985.1
Strobilomyces_197	cfn:1_4881|ITS|JQ318984.1
Strobilomyces_198	sav:5713|ITS|JQ318983.1
Strobilomyces_199	sav:5713|ITS|JQ318982.1
Strobilomyces_200	sav:5713|ITS|JQ318981.1
Strobilomyces_201	sav:5713|ITS|JQ318980.1
Strobilomyces_202	sav:5713|ITS|JQ318979.1
Strobilomyces_203	sav:3214|ITS|JQ318978.1
Strobilomyces_204	sav:3214|ITS|JQ318977.1
Strobilomyces_205	sav:3214|ITS|JQ318976.1
Strobilomyces_206	sav:3214|ITS|JQ318975.1
Strobilomyces_207	sav:3214|ITS|JQ318974.1
Strobilomyces_208	tenn:62178|ITS|JQ318973.1
Strobilomyces_209	tenn:62178|ITS|JQ318972.1
Strobilomyces_210	tenn:62157|ITS|JQ318971.1
Strobilomyces_211	tenn:62157|ITS|JQ318970.1
Strobilomyces_212	tenn:61238|ITS|JQ318969.1
Strobilomyces_213	tenn:55450|ITS|JQ318968.1
Strobilomyces_214	tenn:55450|ITS|JQ318967.1
Strobilomyces_215	tenn:55450|ITS|JQ318966.1
Strobilomyces_216	tenn:55450|ITS|JQ318965.1
Strobilomyces_217	tenn:34672|ITS|JQ318964.1
Strobilomyces_218	kun12|ITS|DQ407255.1
Strobilomyces_219	kun10|ITS|DQ407254.1
Strobilomyces_220	139_460|ITS|AB509778.1
Strobilomyces_221	aftol_id_716|ITS|AY854068.1
Strobilomyces_222	i0501|ITS|AB275208.1
Strobilomyces_223	i1401|ITS|AB275219.1
Strobilomyces_224	AB275218.1|ITS|AB275218.1
Strobilomyces_225	i1201|ITS|AB275217.1
Strobilomyces_226	i1102|ITS|AB275216.1
Strobilomyces_227	i1101|ITS|AB275215.1
Strobilomyces_228	i1001|ITS|AB275214.1
Strobilomyces_229	i0901|ITS|AB275213.1
Strobilomyces_230	i0801|ITS|AB275212.1
Strobilomyces_231	i0701|ITS|AB275211.1
Strobilomyces_232	i0602|ITS|AB275210.1
Strobilomyces_233	i0601|ITS|AB275209.1
Strobilomyces_234	i0405|ITS|AB275207.1
Strobilomyces_235	i0404|ITS|AB275206.1
Strobilomyces_236	i0403|ITS|AB275205.1
Strobilomyces_237	i0402|ITS|AB275204.1
Strobilomyces_238	i0401|ITS|AB275203.1
Strobilomyces_239	i0304|ITS|AB275202.1
Strobilomyces_240	i0303|ITS|AB275201.1
Strobilomyces_241	i0302|ITS|AB275200.1
Strobilomyces_242	i0301|ITS|AB275199.1
Strobilomyces_243	i0202|ITS|AB275198.1
Strobilomyces_244	i0201|ITS|AB275197.1
Strobilomyces_245	i0107|ITS|AB275196.1
Strobilomyces_246	i0106|ITS|AB275195.1
Strobilomyces_247	i0105|ITS|AB275194.1
Strobilomyces_248	i0104|ITS|AB275193.1
Strobilomyces_249	i0103|ITS|AB275192.1
Strobilomyces_250	i0102|ITS|AB275191.1
Strobilomyces_251	i0101|ITS|AB275190.1
