Xerocomellus_101	mhkmu_l.j._su_224|ITS|PP189875.1
Xerocomellus_102	lt22_015|ITS|PP809299.1
Xerocomellus_103	lt22_013|ITS|PP804247.1
Xerocomellus_104	hay_f_003427|ITS|PP725633.1
Xerocomellus_105	hay_f_006643|ITS|PP626510.1
Xerocomellus_106	hay_f_006642|ITS|PP626496.1
Xerocomellus_107	hay_f_005686|ITS|PP594871.1
Xerocomellus_108	le_f_343575|ITS|PP317929.1
Xerocomellus_109	hay_f_006990|ITS|PP576203.1
Xerocomellus_110	ubc:f35903|ITS|PP550927.1
Xerocomellus_111	somf30869|ITS|OQ398600.1
Xerocomellus_112	lprc5962|ITS|OQ507658.1
Xerocomellus_113	mushroom_observer_479738|ITS|ON359845.1
Xerocomellus_114	mushroom_observer_396903|ITS|MT199087.2
Xerocomellus_115	PP301793.1|ITS|PP301793.1
Xerocomellus_116	143_premix|ITS|PP068828.1
Xerocomellus_117	mexu|ITS|OQ077193.1
Xerocomellus_118	mo473615|ITS|OP941367.1
Xerocomellus_119	hay_f_000531|ITS|OR944527.1
Xerocomellus_120	hay_f_001573|ITS|OR886757.1
Xerocomellus_121	personal_collection:anyssa_lopez_gaston:alg_2|ITS|OR854264.1
Xerocomellus_122	hay_f_000325|ITS|OR853469.1
Xerocomellus_123	hay_f_000318|ITS|OR853463.1
Xerocomellus_124	hay_f_000306|ITS|OR853460.1
Xerocomellus_125	sm334_b408b|ITS|OR567842.1
Xerocomellus_126	sm334_b408a|ITS|OR567841.1
Xerocomellus_127	ubc_f33235|ITS|MG953974.1
Xerocomellus_128	f33024|ITS|MH718235.1
Xerocomellus_129	ubc:f33079|ITS|MF908480.1
Xerocomellus_130	ubcf20355|ITS|KC581337.1
Xerocomellus_131	ubc_f16298|ITS|EU486447.1
Xerocomellus_132	dc_21_56|ITS|OQ847959.1
Xerocomellus_133	dc_21_12|ITS|OQ847832.1
Xerocomellus_134	s.d._russell_ont_wcmb23_inaturalist_147502552|ITS|OR168822.1
Xerocomellus_135	mo402983|ITS|ON256881.1
Xerocomellus_136	mo402950|ITS|ON256852.1
Xerocomellus_137	mo393550|ITS|ON176016.1
Xerocomellus_138	wq7_9|ITS|OQ674435.1
Xerocomellus_139	670_premix|ITS|OQ612556.1
Xerocomellus_140	1509_premix|ITS|OQ612555.1
Xerocomellus_141	5192|ITS|ON392098.1
Xerocomellus_142	5193|ITS|ON392097.1
Xerocomellus_143	18219|ITS|ON392096.1
Xerocomellus_144	cp153|ITS|OL763326.1
Xerocomellus_145	cp152|ITS|OL763325.1
Xerocomellus_146	d74|ITS|OL763324.1
Xerocomellus_147	cp3|ITS|OL763323.1
Xerocomellus_148	cp21|ITS|OL763322.1
Xerocomellus_149	cpm55|ITS|OL763321.1
Xerocomellus_150	ota:73324|ITS|OQ065088.1
Xerocomellus_151	ota:73311|ITS|OQ065083.1
Xerocomellus_152	ota:73308|ITS|OQ065081.1
Xerocomellus_153	OQ023961.1|ITS|OQ023961.1
Xerocomellus_154	src444|ITS|DQ974704.1
Xerocomellus_155	arf_4411|ITS|OP580222.1
Xerocomellus_156	s.d._russell_inaturalist_17475092|ITS|ON416966.1
Xerocomellus_157	s.d._russell_inaturalist_18287098|ITS|ON416957.1
Xerocomellus_158	inat99810744|ITS|OP651106.1
Xerocomellus_159	jlf6549|ITS|OP563370.1
Xerocomellus_160	jlf9998|ITS|OP563103.1
Xerocomellus_161	jlf9772|ITS|OP563099.1
Xerocomellus_162	inat17266987|ITS|OK346421.1
Xerocomellus_163	inat39551005|ITS|OK346365.1
Xerocomellus_164	avrg1161|ITS|OK350680.1
Xerocomellus_165	av1660|ITS|OK350679.1
Xerocomellus_166	mo402996|ITS|OP470128.1
Xerocomellus_167	oka_tr1681|ITS|OP222680.1
Xerocomellus_168	oka_tr1680|ITS|OP222679.1
Xerocomellus_169	dbg:f_017761|ITS|OP150215.1
Xerocomellus_170	pdd:103483|ITS|OP141481.1
Xerocomellus_171	pdd:103378|ITS|OP141480.1
Xerocomellus_172	pdd:102433|ITS|OP141477.1
Xerocomellus_173	pdd:101772|ITS|OP141470.1
Xerocomellus_174	pdd:83882|ITS|OP141463.1
Xerocomellus_175	pdd:106501|ITS|OP141413.1
Xerocomellus_176	pdd:106951|ITS|OP141411.1
Xerocomellus_177	pdd:106688|ITS|OP141410.1
Xerocomellus_178	pdd:106687|ITS|OP141409.1
Xerocomellus_179	pdd:105921|ITS|OP141398.1
Xerocomellus_180	pdd:97165|ITS|OP141377.1
Xerocomellus_181	pdd:96984|ITS|OP141374.1
Xerocomellus_182	pdd:96836|ITS|OP141368.1
Xerocomellus_183	pdd:96835|ITS|OP141367.1
Xerocomellus_184	pdd:96834|ITS|OP141366.1
Xerocomellus_185	pdd:80914|ITS|OP141346.1
