Xerocomus_108	alv38209|ITS|OR941565.1
Xerocomus_109	bjtc_fm2369|ITS|OR655176.1
Xerocomus_110	bjtc_fm2186|ITS|OR655175.1
Xerocomus_111	bjtc_fm1248|ITS|OR655174.1
Xerocomus_112	bjtc_fm1245|ITS|OR655173.1
Xerocomus_113	bjtc_fm1813|ITS|OR655172.1
Xerocomus_114	bjtc_fm1790|ITS|OR655171.1
Xerocomus_115	ysu_f_08933|ITS|OQ873563.1
Xerocomus_116	ysu_f_05660|ITS|OQ873562.1
Xerocomus_117	ysu_f_05286|ITS|OQ873561.1
Xerocomus_118	ysu_f_04653|ITS|OQ873560.1
Xerocomus_119	mexu:ho_30131|ITS|OQ984883.1
Xerocomus_120	inat61375117|ITS|OP028504.1
Xerocomus_121	inat62338044|ITS|OP028481.1
Xerocomus_122	kd_22_025|ITS|OQ776920.1
Xerocomus_123	kd_22_027|ITS|OQ776919.1
Xerocomus_124	kd_22_005|ITS|OQ748036.1
Xerocomus_125	kd_22_002|ITS|OQ748035.1
Xerocomus_126	flas_f_69475|ITS|OR052571.1
Xerocomus_127	flas_f_69297|ITS|OR052560.1
Xerocomus_128	mo373611|ITS|ON176002.1
Xerocomus_129	mo446228|ITS|ON129214.1
Xerocomus_130	ibsdm48|ITS|OQ653101.1
Xerocomus_131	703_premix|ITS|OQ612488.1
Xerocomus_132	cwumyc8724|ITS|OQ606967.1
Xerocomus_133	gt2022001|ITS|OQ327041.1
Xerocomus_134	oms_044|ITS|LC667072.1
Xerocomus_135	oms_043|ITS|LC667071.1
Xerocomus_136	s.d._russell_ont_inaturalist_131405130|ITS|OP749446.1
Xerocomus_137	s.d._russell_ont_inaturalist_131405131|ITS|OP749445.1
Xerocomus_138	s.d._russell_ont_inaturalist_136441142|ITS|OP749371.1
Xerocomus_139	s.d._russell_ont_mushroom_observer_497228|ITS|OP749314.1
Xerocomus_140	s.d._russell_ont_inaturalist_129625951|ITS|OP749117.1
Xerocomus_141	s.d._russell_ont_inaturalist_128220256|ITS|OP743471.1
Xerocomus_142	s.d._russell_ont_inaturalist_129585424|ITS|OP743431.1
Xerocomus_143	s.d._russell_ont_inaturalist_130560701|ITS|OP643377.1
Xerocomus_144	s.d._russell_ont_inaturalist_130406906|ITS|OP643346.1
Xerocomus_145	s.d._russell_ont_inaturalist_129908043|ITS|OP643298.1
Xerocomus_146	s.d._russell_ont_inaturalist_129592974|ITS|OP643196.1
Xerocomus_147	s.d._russell_ont_inaturalist_129591130|ITS|OP643194.1
Xerocomus_148	s.d._russell_ont_inaturalist_129582764|ITS|OP643178.1
Xerocomus_149	s.d._russell_ont_inaturalist_130419158|ITS|OP643061.1
Xerocomus_150	s.d._russell_ont_inaturalist_130959544|ITS|OP643024.1
Xerocomus_151	arf_4951|ITS|OP580293.1
Xerocomus_152	arf_4940|ITS|OP580292.1
Xerocomus_153	arf_5006|ITS|OP580291.1
Xerocomus_154	s.d._russell_ont_inaturalist_98402401|ITS|OP549078.1
Xerocomus_155	s.d._russell_mycomap_10250|ITS|OP477002.1
Xerocomus_156	s.d._russell_ont_inaturalist_129606361|ITS|OP470537.1
Xerocomus_157	s.d._russell_ont_inaturalist_129604287|ITS|OP470526.1
Xerocomus_158	s.d._russell_ont_inaturalist_129602300|ITS|OP470521.1
Xerocomus_159	pdd:107806|ITS|OP141488.1
Xerocomus_160	pdd:107658|ITS|OP141484.1
Xerocomus_161	pdd:107617|ITS|OP141483.1
Xerocomus_162	pdd:101781|ITS|OP141475.1
Xerocomus_163	pdd:101779|ITS|OP141474.1
Xerocomus_164	pdd:101777|ITS|OP141473.1
Xerocomus_165	pdd:101765|ITS|OP141468.1
Xerocomus_166	pdd:93823|ITS|OP141466.1
Xerocomus_167	pdd:77528|ITS|OP141461.1
Xerocomus_168	pdd:114169|ITS|OP141454.1
Xerocomus_169	pdd:114161|ITS|OP141453.1
Xerocomus_170	pdd:113892|ITS|OP141450.1
Xerocomus_171	pdd:113243|ITS|OP141443.1
Xerocomus_172	pdd:113235|ITS|OP141442.1
Xerocomus_173	pdd:113234|ITS|OP141441.1
Xerocomus_174	pdd:113141|ITS|OP141436.1
Xerocomus_175	pdd:113013|ITS|OP141427.1
Xerocomus_176	pdd:113005|ITS|OP141425.1
Xerocomus_177	pdd:113000|ITS|OP141424.1
Xerocomus_178	pdd:112729|ITS|OP141421.1
Xerocomus_179	pdd:106820|ITS|OP141406.1
Xerocomus_180	pdd:106318|ITS|OP141402.1
Xerocomus_181	pdd:106317|ITS|OP141401.1
Xerocomus_182	pdd:106012|ITS|OP141399.1
Xerocomus_183	pdd:96537|ITS|OP141363.1
Xerocomus_184	pdd:95807|ITS|OP141356.1
Xerocomus_185	pdd:95375|ITS|OP141353.1
Xerocomus_186	pdd:95351|ITS|OP141351.1
Xerocomus_187	pdd:80721|ITS|OP141342.1
Xerocomus_188	pdd:76625|ITS|OP141336.1
Xerocomus_189	amv1884|ITS|KT724094.1
Xerocomus_190	oly_0182|ITS|OP020405.1
Xerocomus_191	th9872|ITS|MZ351722.1
Xerocomus_192	bd886|ITS|MZ351721.1
Xerocomus_193	th10779|ITS|MZ351720.1
Xerocomus_194	th9906|ITS|MZ351719.1
Xerocomus_195	th10022|ITS|MZ351718.1
Xerocomus_196	th10272|ITS|MZ351717.1
Xerocomus_197	th9954|ITS|MZ351716.1
Xerocomus_198	th10641|ITS|MZ351693.1
Xerocomus_199	th10583|ITS|MZ351692.1
Xerocomus_200	bd824|ITS|MZ351691.1
Xerocomus_201	bd667|ITS|MZ351690.1
Xerocomus_202	mca7447|ITS|MZ351689.1
Xerocomus_203	bd805|ITS|MZ351641.1
Xerocomus_204	ns2227|ITS|MZ351640.1
Xerocomus_205	th9970|ITS|MZ351630.1
Xerocomus_206	th10767|ITS|MZ351621.1
Xerocomus_207	th10517|ITS|MZ351591.1
Xerocomus_208	bd658|ITS|MZ351590.1
Xerocomus_209	bd654|ITS|MZ351589.1
Xerocomus_210	th10781|ITS|MZ351588.1
Xerocomus_211	bd828|ITS|MZ351587.1
Xerocomus_212	th10497|ITS|MZ351586.1
Xerocomus_213	mca7512|ITS|MZ351585.1
Xerocomus_214	bd695|ITS|MZ351584.1
Xerocomus_215	mca7581|ITS|MZ351583.1
Xerocomus_216	th9880|ITS|MZ351582.1
Xerocomus_217	th9961|ITS|MZ351581.1
Xerocomus_218	th10584|ITS|MZ351580.1
Xerocomus_219	bd697|ITS|MZ351561.1
Xerocomus_220	th9901|ITS|MZ351560.1
Xerocomus_221	th10619|ITS|MZ351559.1
Xerocomus_222	th10505|ITS|MZ351502.1
Xerocomus_223	th10515|ITS|MZ351501.1
Xerocomus_224	bd773|ITS|MZ351500.1
Xerocomus_225	ns2200|ITS|MZ351499.1
Xerocomus_226	th10539|ITS|MZ351498.1
Xerocomus_227	bd894|ITS|MZ351497.1
Xerocomus_228	mhm131|ITS|EU569238.1
Xerocomus_229	mhm129|ITS|EU569235.1
Xerocomus_230	mushroom_observer_285192_haplotype_2|ITS|ON705301.1
Xerocomus_231	mushroom_observer_285192_haplotype_1|ITS|ON705300.1
Xerocomus_232	ba33|ITS|LC483921.1
Xerocomus_233	mes_3718|ITS|ON383381.1
Xerocomus_234	ON180513.1|ITS|ON180513.1
Xerocomus_235	s.d._russell_inaturalist_56814501|ITS|ON059223.1
Xerocomus_236	378|ITS|OM972649.1
Xerocomus_237	207|ITS|OM972478.1
Xerocomus_238	qhu20191|ITS|OM970933.1
Xerocomus_239	duke:0351605|ITS|OL342399.1
Xerocomus_240	cfmr:bz_3953_tjb_9943|ITS|NR_175148.1
Xerocomus_241	cfmr:bz_2120_tjb_9400|ITS|NR_175147.1
Xerocomus_242	yj22|ITS|OM867696.1
Xerocomus_243	142|ITS|OM809315.1
Xerocomus_244	pul:pul00031427|ITS|OM747731.1
Xerocomus_245	inat:86045660|ITS|OM021888.1
Xerocomus_246	wml_44|ITS|OK584467.1
Xerocomus_247	ubc:f32813|ITS|MZ817041.1
Xerocomus_248	ubc:f31236|ITS|MZ817040.1
Xerocomus_249	n.k.zeng4049|ITS|MT822952.1
Xerocomus_250	km:167360|ITS|MZ159415.1
Xerocomus_251	pdd94435|ITS|JQ924297.1
Xerocomus_252	hbau15363|ITS|MW862315.1
Xerocomus_253	130822mfbpc358|ITS|MW554135.1
Xerocomus_254	wu:39588|ITS|NR_171887.1
Xerocomus_255	wtu_f_073195|ITS|MW597130.1
Xerocomus_256	lugo:ecc16112347|ITS|MW376720.1
Xerocomus_257	le315595|ITS|MT893600.1
Xerocomus_258	18181|ITS|JF908800.1
Xerocomus_259	17800|ITS|JF908798.1
Xerocomus_260	17796|ITS|JF908797.1
Xerocomus_261	17663|ITS|JF908796.1
Xerocomus_262	175|ITS|MT908283.1
Xerocomus_263	ny13856|ITS|KM213665.1
Xerocomus_264	jlf_x24|ITS|KU144817.1
Xerocomus_265	jlf_x17|ITS|KU144816.1
Xerocomus_266	jlf_x16|ITS|KU144814.1
Xerocomus_267	jlf_x15|ITS|KU144812.1
Xerocomus_268	jlf3700|ITS|KU144811.1
Xerocomus_269	jlf2961|ITS|KU144810.1
Xerocomus_270	jlf2784|ITS|KU144808.1
Xerocomus_271	jlf2777|ITS|KU144806.1
Xerocomus_272	MW039842.1|ITS|MW039842.1
Xerocomus_273	MW028092.1|ITS|MW028092.1
Xerocomus_274	MW028048.1|ITS|MW028048.1
Xerocomus_275	MW027897.1|ITS|MW027897.1
Xerocomus_276	wtu_f_073196|ITS|MT955158.1
Xerocomus_277	wtu_f_073195|ITS|MT955157.1
Xerocomus_278	th8850|ITS|JQ751263.1
Xerocomus_279	th9260|ITS|JQ751260.1
Xerocomus_280	th9197|ITS|JQ751259.1
Xerocomus_281	wu_39588|ITS|MT644941.1
Xerocomus_282	otu62|ITS|MT596274.1
Xerocomus_283	otu44|ITS|MT596180.1
Xerocomus_284	hkas105284|ITS|MT520093.1
Xerocomus_285	hkas105283|ITS|MT520092.1
Xerocomus_286	hkas105282|ITS|MT520091.1
Xerocomus_287	pdd:105247|ITS|KP191799.1
Xerocomus_288	295|ITS|MT278246.1
Xerocomus_289	ant013_qfb28575|ITS|MN992545.1
Xerocomus_290	mq18r259_qfb30775|ITS|MN992288.1
Xerocomus_291	59|ITS|MN685116.1
Xerocomus_292	b2|ITS|MN461458.1
Xerocomus_293	188|ITS|MN047020.1
Xerocomus_294	cfmr:bz_2120_tjb_9401|ITS|MN250219.1
Xerocomus_295	cfmr:bz_3953_tjb_9943|ITS|MN250208.1
Xerocomus_296	cfmr:bz_2120_tjb_9400|ITS|MN250207.1
Xerocomus_297	fh:mes232|ITS|FJ480443.1
Xerocomus_298	jlf5635|ITS|MK737051.1
Xerocomus_299	jlf6872|ITS|MK592633.1
Xerocomus_300	jlf6816|ITS|MK592632.1
Xerocomus_301	jlf6723|ITS|MK592631.1
Xerocomus_302	jlf6703|ITS|MK592630.1
Xerocomus_303	jlf6543|ITS|MK592629.1
Xerocomus_304	jlf5567|ITS|MK592628.1
Xerocomus_305	jlf5352|ITS|MK592627.1
Xerocomus_306	jlf4853|ITS|MK592626.1
Xerocomus_307	jlf4680|ITS|MK592625.1
Xerocomus_308	jlf3427|ITS|MK592624.1
Xerocomus_309	jlf3094|ITS|MK592623.1
Xerocomus_310	jlh_mycoportal_6604756|ITS|MK578706.1
Xerocomus_311	mt2ad|ITS|MK529849.1
Xerocomus_312	t2210|ITS|MG988195.1
Xerocomus_313	ast2218|ITS|MG988194.1
Xerocomus_314	ast22a|ITS|MG988193.1
Xerocomus_315	ast48|ITS|MG988192.1
Xerocomus_316	ecm19|ITS|MG988191.1
Xerocomus_317	ecm26|ITS|MG988190.1
Xerocomus_318	LC333562.1|ITS|LC333562.1
Xerocomus_319	brg:th9260|ITS|NR_121538.1
Xerocomus_320	ym2760|ITS|AB848705.1
Xerocomus_321	ym1678|ITS|AB848704.1
Xerocomus_322	ym803|ITS|AB848703.1
Xerocomus_323	wa0000071057|ITS|MK028913.1
Xerocomus_324	cal:kd_13_082|ITS|NR_159014.1
Xerocomus_325	mushroom_observer_329961|ITS|MH892483.1
Xerocomus_326	ml900101xs|ITS|MH011844.1
Xerocomus_327	ml90902xe|ITS|MH011843.1
Xerocomus_328	ml90951xe|ITS|MH011841.1
Xerocomus_329	mushroom_observer_326544|ITS|MH809393.1
Xerocomus_330	mushroom_observer_325437|ITS|MH807733.1
Xerocomus_331	ab15|ITS|MH796996.1
Xerocomus_332	ab12|ITS|MH796989.1
Xerocomus_333	mcve:28973|ITS|MH102397.1
Xerocomus_334	mushroom_observer_244111|ITS|MH234470.1
Xerocomus_335	mushroom_observer_249274|ITS|MH230109.1
Xerocomus_336	mushroom_observer_245956|ITS|MH225773.1
Xerocomus_337	mushroomobserver.org/306453|ITS|MH100802.1
Xerocomus_338	cm058|ITS|KP826760.1
Xerocomus_339	1549a_q_6103|ITS|KM248935.1
Xerocomus_340	3539|ITS|KM248934.1
Xerocomus_341	km167686|ITS|KC215201.1
Xerocomus_342	km168813|ITS|KC215200.1
Xerocomus_343	amv1883|ITS|KT724093.1
Xerocomus_344	meh_16_b_7|ITS|MF167353.1
Xerocomus_345	jlf4060|ITS|KX534079.1
Xerocomus_346	jlf4012|ITS|KX534078.1
Xerocomus_347	jlf3963|ITS|KX534077.1
Xerocomus_348	pngs/306|ITS|KX882676.1
Xerocomus_349	175|ITS|KY693966.1
Xerocomus_350	295|ITS|KY693967.1
Xerocomus_351	cmub39820|ITS|KX575658.1
Xerocomus_352	champ_29|ITS|KX449436.1
Xerocomus_353	dc_16_056|ITS|KY008398.1
Xerocomus_354	th9610|ITS|KT339240.1
Xerocomus_355	ad6tn|ITS|KU973893.1
Xerocomus_356	ah45790|ITS|KU355485.1
Xerocomus_357	ah44076|ITS|KU355484.1
Xerocomus_358	ah38974|ITS|KU355483.1
Xerocomus_359	amv1993|ITS|KT354679.1
Xerocomus_360	amv1961a|ITS|KT354678.1
Xerocomus_361	amv1843|ITS|KT354677.1
Xerocomus_362	ha36|ITS|KR019867.1
Xerocomus_363	g3298|ITS|KJ786710.1
Xerocomus_364	g3268|ITS|KJ786708.1
Xerocomus_365	g3226|ITS|KJ786703.1
Xerocomus_366	g1055|ITS|KJ786666.1
Xerocomus_367	g1041|ITS|KJ786662.1
Xerocomus_368	an1208|ITS|KU761593.1
Xerocomus_369	an1206|ITS|KU761592.1
Xerocomus_370	358|ITS|KP783432.1
Xerocomus_371	ab15|ITS|KR819019.1
Xerocomus_372	ab12|ITS|KR819016.1
Xerocomus_373	ab9|ITS|KR819013.1
Xerocomus_374	ab8|ITS|KR819012.1
Xerocomus_375	ab7|ITS|KR819011.1
Xerocomus_376	kd_13_082|ITS|KR611867.1
Xerocomus_377	th8802|ITS|JN168784.1
Xerocomus_378	th8839|ITS|JN168782.1
Xerocomus_379	mel:2382615|ITS|KP012979.1
Xerocomus_380	xs57205|ITS|KM236025.1
Xerocomus_381	xs57204|ITS|KM236024.1
Xerocomus_382	xs57203|ITS|KM236023.1
Xerocomus_383	xs57202|ITS|KM236022.1
Xerocomus_384	xs57201|ITS|KM236021.1
Xerocomus_385	emf8|ITS|JF273511.1
Xerocomus_386	sfc20120725_43|ITS|KJ609174.1
Xerocomus_387	2c2|ITS|AB973748.1
Xerocomus_388	1c1|ITS|AB973721.1
Xerocomus_389	h06|ITS|JX029925.1
Xerocomus_390	k_167686|ITS|JQ967281.1
Xerocomus_391	9a|ITS|HQ207698.1
Xerocomus_392	hkas:59820|ITS|JQ678697.1
Xerocomus_393	xrq_vii_09|ITS|JQ685725.1
Xerocomus_394	mb03_005|ITS|JQ003658.1
Xerocomus_395	mb00_005|ITS|JQ003657.1
Xerocomus_396	man061|ITS|JQ003656.1
Xerocomus_397	man063|ITS|JQ003655.1
Xerocomus_398	JF723274.1|ITS|JF723274.1
Xerocomus_399	trtc156462|ITS|JN021113.1
Xerocomus_400	trtc156926|ITS|JN021112.1
Xerocomus_401	gdgm27443|ITS|JF514559.1
Xerocomus_402	ib2004272|ITS|EF644119.1
Xerocomus_403	osc_1064254|ITS|EU526005.1
Xerocomus_404	kun7|ITS|DQ407252.1
Xerocomus_405	149_619|ITS|AB509865.1
Xerocomus_406	143_464|ITS|AB509782.1
Xerocomus_407	127_445|ITS|AB509770.1
Xerocomus_408	128_281|ITS|AB509667.1
Xerocomus_409	149_267|ITS|AB509655.1
Xerocomus_410	125_250|ITS|AB509640.1
Xerocomus_411	130_237|ITS|AB509634.1
Xerocomus_412	146_188|ITS|AB509601.1
Xerocomus_413	jmp0008|ITS|EU819457.1
Xerocomus_414	jmp0010|ITS|EU819451.1
Xerocomus_415	ah2004223_k|ITS|DQ438146.1
Xerocomus_416	ah2005031_s|ITS|DQ438145.1
Xerocomus_417	jam0612_herbarium_j.a._munoz_duplicate_s|ITS|DQ438144.1
Xerocomus_418	ah2005039_km137134_type_k|ITS|DQ438143.1
Xerocomus_419	ah2005003_s|ITS|DQ438142.1
Xerocomus_420	jam0539_herbarium_j.a._munoz_duplicate_s|ITS|DQ438141.1
Xerocomus_421	su81|ITS|DQ131632.1
Xerocomus_422	both3312|ITS|DQ066413.1
Xerocomus_423	both4193|ITS|DQ066412.1
Xerocomus_424	both4086|ITS|DQ066411.1
Xerocomus_425	both4079|ITS|DQ066410.1
Xerocomus_426	both3704|ITS|DQ066409.1
Xerocomus_427	both4214|ITS|DQ066408.1
Xerocomus_428	both3551|ITS|DQ066407.1
Xerocomus_429	da00_120|ITS|DQ066406.1
Xerocomus_430	gs1236|ITS|DQ066404.1
Xerocomus_431	gs0898|ITS|DQ066403.1
Xerocomus_432	at2001071|ITS|DQ066402.1
Xerocomus_433	ah2001020|ITS|DQ066401.1
Xerocomus_434	ah2000108|ITS|DQ066400.1
Xerocomus_435	gs1215|ITS|DQ066399.1
Xerocomus_436	at1999098|ITS|DQ066398.1
Xerocomus_437	ah2000024|ITS|DQ066396.1
Xerocomus_438	ah2001114|ITS|DQ066395.1
Xerocomus_439	ah2001108|ITS|DQ066392.1
Xerocomus_440	at2004283|ITS|DQ066391.1
Xerocomus_441	at2000107|ITS|DQ066390.1
Xerocomus_442	at2000123|ITS|DQ066388.1
Xerocomus_443	at2000118|ITS|DQ066387.1
Xerocomus_444	at2000113|ITS|DQ066386.1
Xerocomus_445	ah2001095|ITS|DQ066385.1
Xerocomus_446	ah2001087|ITS|DQ066384.1
Xerocomus_447	ah2000071|ITS|DQ066383.1
Xerocomus_448	ah2000054|ITS|DQ066382.1
Xerocomus_449	ah2000037|ITS|DQ066381.1
Xerocomus_450	imp0002|ITS|DQ066380.1
Xerocomus_451	ah99083|ITS|DQ066379.1
Xerocomus_452	ah97063|ITS|DQ066378.1
Xerocomus_453	imp0056|ITS|DQ066377.1
Xerocomus_454	ah2003040|ITS|DQ066376.1
Xerocomus_455	gs1959|ITS|DQ066375.1
Xerocomus_456	ah2004074|ITS|DQ066374.1
Xerocomus_457	imp0003|ITS|DQ066373.1
Xerocomus_458	gs1681|ITS|DQ066372.1
Xerocomus_459	at1998075|ITS|DQ066371.1
Xerocomus_460	ah1997028|ITS|DQ066370.1
Xerocomus_461	ah2000001|ITS|DQ066369.1
Xerocomus_462	ah2000014|ITS|DQ066368.1
Xerocomus_463	gs1284|ITS|DQ066367.1
Xerocomus_464	ah2001082b|ITS|DQ066366.1
Xerocomus_465	ah2001082a|ITS|DQ066365.1
Xerocomus_466	at2004282b|ITS|DQ066364.1
Xerocomus_467	at2004282a|ITS|DQ066363.1
Xerocomus_468	at2002025b|ITS|DQ066362.1
Xerocomus_469	at2002025a|ITS|DQ066361.1
Xerocomus_470	gs1135b|ITS|DQ066360.1
Xerocomus_471	gs1135a|ITS|DQ066359.1
Xerocomus_472	gs2048b|ITS|DQ066358.1
Xerocomus_473	gs2048a|ITS|DQ066357.1
Xerocomus_474	gs1796b|ITS|DQ066356.1
Xerocomus_475	gs1796a|ITS|DQ066355.1
Xerocomus_476	nc_6008|ITS|AY456374.1
Xerocomus_477	f:prl5774man|ITS|GQ166882.1
Xerocomus_478	f:prl5808man|ITS|GQ166880.1
Xerocomus_479	f:prl5676man|ITS|GQ166875.1
Xerocomus_480	cu:micro:nan_mn4|ITS|AB453026.1
Xerocomus_481	kf02_45|ITS|AJ889934.2
